Time,Air Temperature Primary (°C),Air Temperature Primary (F),Relative Humidity (%),Atmospheric Pressure (kPa),Vapor Pressure (kPa),Rain Bucket Capacity (mL),Rain Bucket Tips per Minute,Calculated Fallen Rain (mm),Calculated Fallen Rain (in),Wind Speed (m/s),Wind Speed (mph),Wind Direction (°),Wind Gust (m/s),Wind Gust (mph),North Wind Speed (m/s),North Wind Speed (mph),East Wind Speed (m/s),East Wind Speed (mph),Air Temperature Secondary (°C),Air Temperature Secondary (F),Calibrated Counts VWC 1,Soil Moisture 1 (VWC),Electrical Conductivity 1 (dS/m),Soil Temperature 1 (°C),Soil Temperature 1 (F),Calibrated Counts VWC 2,Soil Moisture 2 (VWC),Electrical Conductivity 2 (dS/m),Soil Temperature 2 (°C),Soil Temperature 2 (F),Latitude,Longitude,X Orientation,Y Orientation
2023-07-28T13:49:29.000Z,37.6,99.68,44,99.8,2.88,5,0,0,0,2.13,4.76,180.6,5.48,12.26,-2.13,-4.76,-0.02,-0.04,36.9,98.42,2217.67,16.46,85,32.1,89.78,2139.51,13.43,34,28.9,84.02,38.8478275,-90.45753515624997,-3.7,0.1
2023-07-28T14:04:29.000Z,37.8,100.04,43,99.78,2.78,5,0,0,0,2.13,4.76,178.9,4.59,10.27,-2.13,-4.76,0.04,0.09,37,98.6,2218.37,16.49,85,32.3,90.14,2139.94,13.45,34,29,84.2,38.8478275,-90.45753515624997,-3.6,0.3
2023-07-28T14:19:29.000Z,37.7,99.86,42,99.75,2.76,5,0,0,0,2.24,5.01,171.2,5.46,12.21,-2.21,-4.94,0.34,0.76,37,98.6,2219.49,16.53,86,32.5,90.5,2140.21,13.46,35,29,84.2,38.8478275,-90.45753515624997,-3.9,0
2023-07-28T14:25:51.671Z,27.94,82.3,73,100.02,2.64,5,0.73,0.18,0.01,1.68,3.77,227.65,3.43,7.67,0.07,0.16,-0.67,-1.49,28.13,82.63,2378.7,22.71,132.04,30.67,87.2,2354.38,21.77,106.86,29.31,84.76,38.84785400259082,-90.45753139167729,-3.66,0.29
2023-07-28T14:34:29.000Z,38,100.4,41,99.74,2.7,5,0,0,0,2.46,5.5,189.5,5.45,12.19,-2.42,-5.41,-0.41,-0.92,37.2,98.96,2218.4,16.49,86,32.7,90.86,2139.01,13.41,33,29,84.2,38.8478275,-90.45753515624997,-3.8,0.3
2023-07-28T14:49:29.000Z,37.8,100.04,43,99.73,2.79,5,0,0,0,2.21,4.94,185.2,6.18,13.82,-2.2,-4.92,-0.2,-0.45,37.3,99.14,2218.17,16.48,86,32.9,91.22,2139.59,13.43,34,29.1,84.38,38.8478275,-90.45753515624997,-3.4,0.2
2023-07-28T15:04:29.000Z,37.5,99.5,43,99.73,2.75,5,0,0,0,2.31,5.17,198.9,5.63,12.59,-2.19,-4.9,-0.75,-1.68,37.3,99.14,2217.91,16.47,85,33.1,91.58,2138.82,13.4,34,29.1,84.38,38.8478275,-90.45753515624997,-3.7,0.4
2023-07-28T15:19:29.000Z,37.5,99.5,44,99.73,2.83,5,0,0,0,2.37,5.3,186.6,4.75,10.63,-2.35,-5.26,-0.27,-0.6,37.2,98.96,2218.87,16.51,86,33.2,91.76,2138.22,13.38,34,29.1,84.38,38.8478275,-90.45753515624997,-3.9,0.5
2023-07-28T15:34:29.000Z,37.2,98.96,44,99.73,2.81,5,0,0,0,2.39,5.35,189.3,5.35,11.97,-2.36,-5.28,-0.39,-0.87,37,98.6,2219.56,16.54,87,33.4,92.12,2138.28,13.38,34,29.2,84.56,38.8478275,-90.45753515624997,-4.1,1
2023-07-28T15:49:29.000Z,36.8,98.24,47,99.73,2.9,5,0,0,0,2.66,5.95,187.7,6.27,14.03,-2.63,-5.88,-0.36,-0.81,36.8,98.24,2218.6,16.5,86,33.5,92.3,2139.57,13.43,34,29.2,84.56,38.8478275,-90.45753515624997,-3.7,0.4
